 asas_sn_id jd flux flux_err mag mag_err limit fwhm image_id camera quality phot_filter
0 661430029753 2458158.7020835 8.087268783212423 0.025278544785959377 14.130560929082739 0.003397522680612447 18.645760438367507 1.45 br045344 br G g
1 661430029753 2458483.9143757 8.23043016306483 0.041698992378531585 14.11150928681435 0.005507001556151614 18.102326709603155 1.74 br124421 br G g
2 661430029753 2458812.805722 8.588955875192962 0.03994705091388728 14.065214693263934 0.00505541164095448 18.148928803700176 1.54 br207188 br G g
3 661430029753 2459326.7841962 8.975864849135366 0.06898825928728006 14.017374860462304 0.008354319011717586 17.555702644041137 2.15 bB226459 bB G g
4 661430029753 2458785.9278552 7.831982709975019 0.03587406632213643 14.165386322182528 0.0049787584822531695 18.265689094677356 1.48 br197940 br G g
5 661430029753 2458582.6580398 7.852314218200569 0.0404123049149283 14.16257144727375 0.005594072927440463 18.136356558628822 1.41 br150189 br G g
6 661430029753 2458491.832875 7.867449779894821 0.035328015792766745 14.160480673851074 0.004880872231835737 18.282342496800126 1.46 br126565 br G g
7 661430029753 2459350.6521706 8.1010691551207 0.06567798704715144 14.128709773379576 0.008812307979184971 17.60909102718805 1.73 br342662 br G g
8 661430029753 2458982.6991367 8.239856296363424 0.05557812688929236 14.110266528185257 0.007331560808290193 17.79038084652953 1.46 br247575 br G g
9 661430029753 2458110.8132907 8.340354233473468 0.03402301708691024 14.097104381066845 0.004434049115496312 18.32320855326423 1.73 br028249 br G g
10 661430029753 2458509.7801362 7.992213453360357 0.04400160155131989 14.143397936371233 0.005984303103549417 18.0439694013493 1.41 br131770 br G g
11 661430029753 2458576.7758335 9.187404648175308 0.029216158723531845 13.992083510347166 0.0034565468139052366 18.488582823277888 2.09 bB022562 bB G g
12 661430029753 2458854.8994296 9.018106485737917 0.06193297377735027 14.012277224414696 0.0074648098095152415 17.672835777392464 2.42 bB102880 bB G g
13 661430029753 2459218.8200892 8.993988842855963 0.039875117859862176 14.015184761069527 0.004819054167197591 18.150885662137263 2.03 bB200289 bB G g
14 661430029753 2458972.7502472 9.0201016396294 0.062307072655762914 14.012037044147583 0.007508239006543821 17.66629724274652 2.08 bB127003 bB G g
15 661430029753 2458615.6412224 8.135837495625994 0.07370360550936048 14.124059958661237 0.009846879897387058 17.483918777326473 1.40 br158585 br G g
16 661430029753 2459268.8323694 9.0855473560338 0.06695598778920417 14.004187881354685 0.008010331655871929 17.588167057716305 2.09 bB214003 bB G g
17 661430029753 2459115.129122 9.1660966330124 0.038420321084517046 13.994604543642527 0.0045560526189218865 18.191238136426065 1.79 bB170202 bB G g
18 661430029753 2458848.8385539 9.053570172932979 0.03499352187737881 14.008015942044992 0.00420126382153126 18.292671477231195 2.08 bB101600 bB G g
19 661430029753 2459208.7637988 8.131313632532022 0.05670750674824673 14.124663840931023 0.007580398085368009 17.768539228603746 1.51 br305429 br B g
20 661430029753 2458496.8145579 9.063837233658253 0.02439213536608237 14.00678537737434 0.0029251618196376133 18.684516057653305 1.74 bB013844 bB G g
21 661430029753 2458764.9884154 8.025871689362733 0.04555240346236376 14.13883509145251 0.006169234189219873 18.00636237041418 1.46 br190960 br G g
22 661430029753 2458808.0836487 8.748048797489362 0.07998277565946613 14.04528763000642 0.009937964641304368 17.3951494327576 1.74 bB090452 bB G g
23 661430029753 2458245.695736 8.08641023499259 0.05678040384919385 14.130676197462385 0.007632290284233821 17.767144418668686 1.43 br069641 br G g
24 661430029753 2459166.0647257 8.910778297227722 0.026269322730220448 14.02527652621098 0.0032043903137132872 18.604018421323186 2.13 bB184647 bB G g
25 661430029753 2459292.7270357 7.983220350474673 0.03943013857246413 14.144620330523079 0.005368616221631562 18.16306985306354 1.42 br328893 br G g
26 661430029753 2459244.9745378 8.835326388242319 0.09897959921691858 14.034509128452191 0.012176858687543972 17.163776384052408 2.22 bB208156 bB G g
27 661430029753 2458985.6808545 7.994777990774552 0.04697806799187676 14.143049601770235 0.006387058832827906 17.97290273113218 1.43 br248272 br G g
28 661430029753 2459199.996881 8.143782998890567 0.03356634317298565 14.123000140190989 0.004480123749341171 18.33788053552643 1.51 br302045 br G g
29 661430029753 2458825.9182101 8.921092214187444 0.11279671818006622 14.024020550928116 0.013743286753791379 17.021899451353615 2.02 bB095364 bB G g
30 661430029753 2458793.0161413 8.757616704165194 0.03501185000723858 14.04410078867038 0.004345515451186654 18.292102963299385 2.01 bB085713 bB G g
31 661430029753 2458425.0165682 7.833873185949301 0.19415973311505752 14.165124279912627 0.026939826974358504 16.432242695545156 2.04 br108142 br G g
32 661430029753 2459190.9330956 8.964064792395101 0.040165961829223024 14.018803154878697 0.004870408143327779 18.142995183434966 2.00 bB191854 bB G g
33 661430029753 2458170.6737677 7.995617017680206 0.039199034610966334 14.142935663135374 0.005328875335330862 18.169452182940336 1.43 br049031 br G g
34 661430029753 2458782.9258618 7.690808043530544 0.04403318302032618 14.18513569267123 0.006223293467470899 18.043190410500685 1.60 br196643 br G g
35 661430029753 2458599.6179323 8.09953234220545 0.03469258395783279 14.128915762450697 0.004655741689239391 18.30204899149719 1.42 br153994 br G g
36 661430029753 2459003.6304114 7.954372799353205 0.1347973956292029 14.14855076902548 0.018419919708129062 16.828436857850317 1.81 br252869 br B g
37 661430029753 2458594.7851339 8.634144768589247 0.1364691094334397 14.059517306804644 0.01718015999155471 16.81505471781407 2.20 bB028385 bB B g
38 661430029753 2458189.6763941 8.049883012742937 0.03060664492274788 14.135591700023857 0.0041327423336055165 18.438101298507053 1.56 br055337 br G g
