# SN2017hcc magnitudes from Swift UVOT                                                        
# generated Thu Feb 22 23:25:55 UTC 2024 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel5.8(Bld47)_30Jun2023 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
# V               5.09862       0.346705
# B               9.72137       0.568944
# U               5.35340       0.313114
# UVW1            2.08592       0.105506
# UVM2           0.743006      0.0374840
# UVW2            1.06022      0.0569219
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVW2     58054.3971  12.499   0.040  18.291  11.094  89.648   3.342   5.000      0.0110322     367.89     373.78
UVW2     58056.1252  12.536   0.041  17.736  11.094  86.611   3.298   5.000      0.0110322     106.45     108.16
UVW2     58060.9783  12.603   0.040  18.703  11.094  81.409   3.008   5.000      0.0110322    1803.75   35388.12
UVW2     58062.8146  12.641   0.040  18.521  11.094  78.631   2.931   5.000      0.0110322     668.84    5678.62
UVW2     58067.6893  12.795   0.041  18.481  11.094  68.214   2.571   5.000      0.0110322     503.25   35700.21
UVW2     58073.4673  12.992   0.042  18.374  11.095  56.925   2.194   5.000      0.0110322     325.56     330.78
UVW2     58076.6138  13.146   0.042  18.576  11.095  49.386   1.907   5.000      0.0110322     542.86    5567.77
UVW2     58079.6043  13.299   0.043  18.532  11.096  42.912   1.692   5.000      0.0110322     433.61    5809.32
UVW2     58087.5883  13.800   0.046  18.650  11.096  27.028   1.137   5.000      0.0110322     504.98   63806.96
UVW2     58091.6342  14.074   0.048  18.686  11.097  21.012   0.933   5.000      0.0110322     520.22    5394.35
UVW2     58096.0860  14.401   0.053  18.684  11.097  15.545   0.758   5.000      0.0110322     480.63  155990.20
UVW2     58099.3354  14.638   0.057  18.732  11.097  12.492   0.652   5.000      0.0110322     542.87    4813.84
UVW2     59337.5473    NULL    NULL  19.103  11.099  -0.704   0.048   3.000      0.0110322    4629.11   23843.58
#                                                                                           
UVM2     58054.4020  12.338   0.041  18.033  10.561  63.820   2.430   5.000      0.0110322     253.84     257.91
UVM2     58060.9833  12.401   0.040  18.754  10.561  60.223   2.230   5.000      0.0110322    2701.35   35172.56
UVM2     58062.5425  12.430   0.040  18.771  10.561  58.608   2.171   5.000      0.0110322    2918.06    7303.00
UVM2     58062.8189  12.423   0.041  18.296  10.561  58.998   2.235   5.000      0.0110322     441.97    5743.47
UVM2     58067.6922  12.559   0.041  18.518  10.562  52.044   1.970   5.000      0.0110322     764.05   35666.44
UVM2     58073.4729  12.796   0.042  18.401  10.562  41.847   1.632   5.000      0.0110322     481.77     489.49
UVM2     58076.6178  12.911   0.042  18.580  10.562  37.633   1.466   5.000      0.0110322     765.79    5204.14
UVM2     58079.6081  13.050   0.043  18.547  10.562  33.100   1.315   5.000      0.0110322     647.44    6034.06
UVM2     58087.5903  13.526   0.046  18.600  10.563  21.366   0.915   5.000      0.0110322     645.95   63836.16
UVM2     58091.6383  13.803   0.049  18.674  10.563  16.547   0.745   5.000      0.0110322     754.49    5261.18
UVM2     58096.0889  14.111   0.053  18.700  10.563  12.464   0.610   5.000      0.0110322     770.21  156121.27
UVM2     58099.3402  14.428   0.061  18.742  10.563   9.308   0.522   3.000      0.0110322     851.74    4822.69
#                                                                                           
UVW1     58054.3916  12.423   0.041  17.628  11.163 101.620   3.836   5.000      0.0110322     183.82     186.77
UVW1     58056.0897  12.426   0.041  17.804  11.162 101.339   3.800   5.000      0.0110322     300.74    5841.96
UVW1     58060.9740  12.431   0.040  18.067  11.162 100.832   3.749   5.000      0.0110322    1081.23   35549.76
UVW1     58062.8093  12.454   0.041  17.846  11.162  98.743   3.704   5.000      0.0110322     334.16    5308.25
UVW1     58067.6869  12.544   0.041  17.849  11.163  90.832   3.427   5.000      0.0110322     302.43   35733.84
UVW1     58073.4625  12.701   0.042  17.752  11.164  78.623   3.016   5.000      0.0110322     194.61     197.72
UVW1     58076.6101  12.808   0.042  17.947  11.165  71.250   2.735   5.000      0.0110322     325.30    5835.74
UVW1     58079.6010  12.922   0.042  17.907  11.165  64.142   2.496   5.000      0.0110322     259.36    5615.42
UVW1     58087.5863  13.341   0.044  18.089  11.167  43.610   1.763   5.000      0.0110322     349.61   63744.92
UVW1     58091.6305  13.543   0.045  18.089  11.167  36.221   1.515   5.000      0.0110322     311.54    5482.38
UVW1     58096.0836  13.816   0.048  18.102  11.168  28.170   1.247   5.000      0.0110322     288.64  155899.81
UVW1     58099.3315  13.982   0.050  18.153  11.169  24.168   1.107   5.000      0.0110322     325.30    4838.30
#                                                                                           
U        58054.3932  12.731   0.041  17.295  12.080 175.153   6.612   5.000      0.0110322      92.30      93.78
U        58056.0913  12.710   0.041  17.331  12.080 178.629   6.731   5.000      0.0110322     108.26    5653.41
