# SN2021yja magnitudes from Swift UVOT                                                        
# generated Wed Feb 7 21:12:14 UTC 2024 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel5.8(Bld47)_30Jun2023 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
# U              0.700199       0.124925
# UVW1           0.247911      0.0519450
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
#                                                                                           
#                                                                                           
UVW1     59466.2355  12.924   0.041  18.989  11.148  64.036   2.418   5.000      0.0110322     314.50    6146.44
UVW1     59466.5670  12.940   0.041  18.990  11.148  63.095   2.385   5.000      0.0110322     314.50    5861.07
UVW1     59467.1261  12.956   0.042  18.831  11.148  62.175   2.377   5.000      0.0110322     191.75   12072.64
UVW1     59467.5789  12.936   0.041  19.170  11.148  63.315   2.363   5.000      0.0110322     630.45   23507.27
UVW1     59470.3120  13.109   0.042  19.041  11.148  53.980   2.065   5.000      0.0110322     314.51   22767.83
UVW1     59471.4988  13.194   0.041  19.196  11.148  49.924   1.898   5.000      0.0110322     533.53   12456.48
UVW1     59471.8425  13.221   0.043  18.895  11.148  48.720   1.910   5.000      0.0110322     194.42   11562.97
UVW1     59479.9340  14.494   0.062  18.866  11.148  15.082   0.862   3.000      0.0110322     131.65     133.76
UVW1     59481.7216  14.835   0.067  18.764  11.149  11.012   0.683   3.000      0.0110322     104.20     105.87
UVW1     59484.3718  15.368   0.064  19.178  11.149   6.739   0.395   3.000      0.0110322     248.78     252.77
UVW1     59489.1550  16.283   0.070  19.324  11.149   2.902   0.188   3.000      0.0110322     367.61   45617.28
UVW1     59492.1793  16.807   0.081  19.324  11.149   1.791   0.133   3.000      0.0110322     363.67   16383.32
UVW1     59496.3583  17.281   0.095  19.331  11.149   1.158   0.102   3.000      0.0110322     362.72   39948.95
UVW1     59504.4884  17.605   0.095  19.463  11.149   0.859   0.075   3.000      0.0110322     655.54   79962.23
UVW1     59511.5912  18.000   0.124  19.399  11.149   0.597   0.068   3.000      0.0110322     481.66   12104.31
UVW1     59518.5894  18.189   0.137  19.412  11.149   0.502   0.063   3.000      0.0110322     502.48   28919.80
UVW1     59525.2669  18.500   0.162  19.431  11.149   0.377   0.056   3.000      0.0110322     549.75   45899.71
UVW1     59540.3504  18.364   0.142  19.469  11.149   0.427   0.056   3.000      0.0110322     674.49   40139.18
UVW1     59541.8432  18.615   0.219  19.212  11.149   0.339   0.068   3.000      0.0110322     245.83     249.77
UVW1     59543.1824  18.784   0.307  18.944  11.149   0.290   0.082   3.000      0.0110322     132.62     134.75
UVW1     59545.0716  18.647   0.166  19.495  11.149   0.329   0.050   3.000      0.0110322     782.47  119059.77
UVW1     59546.7581  18.533   0.155  19.487  11.149   0.366   0.052   3.000      0.0110322     744.24  125762.07
UVW1     59548.6597  18.302   0.150  19.392  11.149   0.452   0.062   3.000      0.0110322     453.25   52766.20
UVW1     59554.1250  18.659   0.171  19.476  11.149   0.325   0.051   3.000      0.0110322     698.00  137964.39
#                                                                                           
U        59466.2369  13.506   0.041  18.912  12.061  85.798   3.276   5.000      0.0110322     157.04    6065.62
U        59466.5684  13.458   0.041  18.910  12.060  89.716   3.410   5.000      0.0110322     157.03    5780.79
U        59467.1270  13.335   0.041  18.563  12.055 100.492   3.818   5.000      0.0110322      66.46   12001.25
U        59470.3135  13.288   0.041  18.913  12.056 104.919   3.927   5.000      0.0110322     157.03   22687.55
U        59471.8434  13.329   0.041  18.725  12.056 101.025   3.817   5.000      0.0110322      96.99   11521.14
U        59479.9352  13.778   0.043  18.707  12.057  66.797   2.649   5.000      0.0110322      65.83      66.88
U        59484.3738  14.190   0.045  18.915  12.058  45.693   1.911   5.000      0.0110322      82.44      83.76
U        59489.1567  14.845   0.051  19.194  12.059  25.015   1.186   5.000      0.0110322     122.53   45394.90
U        59492.1805  15.183   0.058  19.225  12.060  18.307   0.973   5.000      0.0110322     121.59   16356.00
U        59496.3598  15.703   0.066  19.253  12.060  11.344   0.692   3.000      0.0110322     120.54   39811.98
U        59504.4899  16.401   0.069  19.489  12.061   5.963   0.377   3.000      0.0110322     217.56   79844.20
U        59511.5929  16.667   0.077  19.397  12.061   4.669   0.332   3.000      0.0110322     159.75   11928.45
