,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,55064.52,-16.512988534770557,B,B,4418.4126,4418.4126,7.551879103150842e-16,-1.4858480647180556,4.833202626016539e-17,0.064,17.39398028855551,-3.9519261412264957,0.064,False
1,55065.47,-15.562988534766191,B,B,4015.5082973771423,4015.5082973771423,1.604187133743506e-15,-1.1586480647180544,7.218842101845777e-17,0.045,16.57598028855551,-3.1339261412264943,0.045,False
2,55067.53,-13.50298853476852,B,B,4241.983667914285,4241.983667914285,5.702365215058209e-15,-0.6078480647180555,2.680111651077358e-16,0.047,15.19898028855551,-1.7569261412264954,0.047,False
3,55068.51,-12.522988534765318,B,B,4418.4126,4418.4126,8.204554964121346e-15,-0.4498480647180543,3.2818219856485384e-16,0.04,14.803980288555511,-1.3619261412264958,0.04,False
4,55069.5,-11.532988534767355,B,B,4015.5082973771423,4015.5082973771423,1.0716550844212902e-14,-0.3338480647180546,3.322130761706e-16,0.031,14.51398028855551,-1.0719261412264949,0.031,False
5,55071.44,-9.592988534765027,B,B,4015.5082973771423,4015.5082973771423,1.537641276836618e-14,-0.17704806471805412,4.259266336837432e-15,0.277,14.12198028855551,-0.6799261412264954,0.277,False
6,55072.46,-8.572988534768228,B,B,4418.4126,4418.4126,1.755719080022419e-14,-0.11944806471805514,5.442729148069498e-16,0.031,13.97798028855551,-0.5359261412264953,0.031,False
7,55073.5,-7.532988534767355,B,B,4015.5082973771423,4015.5082973771423,1.964513550634861e-14,-0.07064806471805518,6.482894717095041e-16,0.033,13.85598028855551,-0.4139261412264954,0.033,False
8,55074.44,-6.592988534765027,B,B,4418.4126,4418.4126,2.132333003367195e-14,-0.03504806471805466,7.676398812121902e-16,0.036,13.76698028855551,-0.324926141226495,0.036,False
9,55075.53,-5.5029885347685195,B,B,4418.4126,4418.4126,2.243133021837252e-14,-0.01304806471805442,9.196845389532732e-16,0.041,13.71198028855551,-0.2699261412264953,0.041,False
10,55076.51,-4.522988534765318,B,B,4418.4126,4418.4126,2.3683998712082076e-14,0.010551935281945646,8.289399549228727e-16,0.035,13.652980288555511,-0.210926141226496,0.035,False
