,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57871.34727,-23.957139507998363,c,c,5425.9400000000005,5425.9400000000005,6.33874302172393e-16,-0.2947590662210988,2.932659076144462e-17,0.046265625000000005,17.37097725062133,0.7368976655527462,0.046265625000000005,False
1,57895.26437520001,-0.040034307989117224,c,c,5425.9400000000005,5425.9400000000005,1.4517017981740436e-15,0.06511520310888663,1.9453714492047046e-17,0.013400627123639309,16.471291577296366,-0.16278800777221747,0.013400627123639309,False
2,57899.267806,3.963396492006723,c,c,5425.9400000000005,5425.9400000000005,1.4255483665494218e-15,0.057219745138841205,1.729646150532093e-17,0.012133198642139013,16.491030222221482,-0.14304936284710124,0.012133198642139013,False
3,58081.5526525,186.24824299200554,c,c,5425.9400000000005,5425.9400000000005,9.552202576722111e-17,-1.116658687555855,1.641751260154091e-17,0.17187148691286097,19.425726303958225,2.791646718889641,0.17187148691286097,False
4,58961.303103,1065.9986934920016,c,c,5425.9400000000005,5425.9400000000005,9.183974264429571e-17,-1.1337315536012937,1.955106050762978e-17,0.2128823529411765,19.468408469071814,2.834328884003231,0.2128823529411765,False
5,58981.300443,1085.9960334920033,c,c,5425.9400000000005,5425.9400000000005,4.612395819161433e-17,-1.4328356418588193,1.0853983734913489e-17,0.23532203567227283,20.21616868971563,3.5820891046470464,0.23532203567227283,False
6,59311.323628,1416.0192184920015,c,c,5425.9400000000005,5425.9400000000005,5.042181949098586e-17,-1.3941436983570092,1.759595445686679e-17,0.348975,20.11943883096111,3.485359245892525,0.348975,False
7,59963.996247,2068.691837492006,c,c,5425.9400000000005,5425.9400000000005,7.743350850401391e-17,-1.2078332741196434,1.7595954456866774e-17,0.22723953488372098,19.653662770367692,3.0195831852991084,0.22723953488372098,False
8,59964.0365485,2068.7321389920035,c,c,5425.9400000000005,5425.9400000000005,4.952142985721825e-17,-1.4019690358689658,1.3824687464333513e-17,0.279165757212449,20.139002174741,3.504922589672418,0.279165757212449,False
9,59967.550773,2072.246363492006,c,c,5425.9400000000005,5425.9400000000005,2.646315504776696e-17,-1.674120590327007,6.3016248259202265e-18,0.23812825094156626,20.819381060886105,4.185301475817521,0.23812825094156626,False
10,57867.333380250006,-27.971029257991177,c,c,5425.9400000000005,5425.9400000000005,7.961260417990936e-16,-0.19578038146005028,7.961260417990937e-17,0.1,17.12353053871871,0.4894509536501275,0.1,True
11,58109.5101755,214.20576599200285,c,c,5425.9400000000005,5425.9400000000005,5.613941956170612e-17,-1.3474942936139627,5.6139419561706125e-18,0.1,20.002815319103494,3.3687357340349102,0.1,True
12,58161.445943,266.14153349200205,c,c,5425.9400000000005,5425.9400000000005,7.203117070140835e-17,-1.2392417383712662,7.203117070140835e-18,0.1,19.73218393099675,3.098104345928167,0.1,True
13,58193.366176999996,298.0617674919995,c,c,5425.9400000000005,5425.9400000000005,4.158721579450199e-17,-1.4778023657310975,4.1587215794501996e-18,0.1,20.32858549939633,3.6945059143277454,0.1,True
14,58197.364238,302.0598284920052,c,c,5425.9400000000005,5425.9400000000005,3.734816200868025e-14,1.4755070223537938,3.734816200868025e-15,0.1,12.945312029184102,-3.688767555884482,0.1,True
15,58225.30952025,330.0051107420004,c,c,5425.9400000000005,5425.9400000000005,1.2430309930988424e-16,-1.0022802544125877,1.2430309930988426e-17,0.1,19.139780221100054,2.50570063603147,0.1,True
16,58250.278720250004,354.9743107420072,c,c,5425.9400000000005,5425.9400000000005,7.312505285179446e-17,-1.2326960186850329,7.312505285179447e-18,0.1,19.71581963178117,3.0817400467125857,0.1,True
17,58257.26902175,361.96461224200175,c,c,5425.9400000000005,5425.9400000000005,6.014895290601248e-17,-1.3175341402740663,6.014895290601248e-18,0.1,19.927914935753748,3.293835350685164,0.1,True
18,58401.639826750004,506.3354172420077,c,c,5425.9400000000005,5425.9400000000005,8.116234864229562e-17,-1.1874076056893834,8.116234864229562e-18,0.1,19.60259859929204,2.9685190142234568,0.1,True
19,58485.575349,590.2709394920021,c,c,5425.9400000000005,5425.9400000000005,4.433212099311588e-17,-1.4500437018061838,4.433212099311588e-18,0.1,20.25918883958404,3.6251092545154577,0.1,True
20,58493.5120854,598.2076758920011,c,c,5425.9400000000005,5425.9400000000005,4.2346593637054104e-17,-1.4699437302723481,4.234659363705411e-18,0.1,20.308938910749454,3.6748593256808704,0.1,True
21,58573.345111,678.0407014920056,c,c,5425.9400000000005,5425.9400000000005,5.355624485243546e-17,-1.367952093233054,5.355624485243547e-18,0.1,20.053959818151217,3.4198802330826332,0.1,True
22,58577.34935342857,682.0449439205768,c,c,5425.9400000000005,5425.9400000000005,3.6447359703143525e-17,-1.5350961387616593,3.644735970314353e-18,0.1,20.471819931972735,3.837740346904152,0.1,True
23,58581.353340500005,686.0489309920085,c,c,5425.9400000000005,5425.9400000000005,4.798485790148904e-17,-1.4156579986088218,4.798485790148904e-18,0.1,20.17322458159064,3.539144996522058,0.1,True
24,58605.30740866667,710.0029991586707,c,c,5425.9400000000005,5425.9400000000005,5.67091941710721e-17,-1.34310873559361,5.6709194171072096e-18,0.1,19.99185142405261,3.357771838984025,0.1,True
25,58609.292495666676,713.9880861586789,c,c,5425.9400000000005,5425.9400000000005,5.718242171744014e-17,-1.3394996675648159,5.718242171744014e-18,0.1,19.982828753980627,3.348749168912043,0.1,True
26,58789.613063,894.3086534920003,c,c,5425.9400000000005,5425.9400000000005,9.003896337676042e-17,-1.14233172536321,9.003896337676042e-18,0.1,19.48990889847661,2.8558293134080266,0.1,True
27,58813.658899,918.3544894920051,c,c,5425.9400000000005,5425.9400000000005,1.0998335210253987e-16,-1.055435259572656,1.0998335210253987e-17,0.1,19.272667734000223,2.638588148931639,0.1,True
28,58841.564076333336,946.2596668253391,c,c,5425.9400000000005,5425.9400000000005,4.433212099311588e-17,-1.4500437018061838,4.433212099311588e-18,0.1,20.25918883958404,3.6251092545154577,0.1,True
29,58845.602514,950.2981044920016,c,c,5425.9400000000005,5425.9400000000005,6.366716157471449e-17,-1.2928467231952006,6.3667161574714495e-18,0.1,19.866196393056587,3.232116807988003,0.1,True
