#% Generation date: 2019-08-20 14:52:58.3
#% 
#% Original file name: ZTF19aayejww_20190619_P60_v1 
#% JD: 2458653.896657 
#Wavelength(A) Flux(cgs/A) 
6231.500 7.2676e-17 
6257.100 6.8098e-17 
6282.600 7.6110e-17 
6308.200 8.0859e-17 
6333.800 7.6682e-17 
6359.400 7.3248e-17 
6384.900 6.8956e-17 
6410.500 6.5008e-17 
6436.100 7.2390e-17 
6461.600 6.5637e-17 
6487.200 7.1989e-17 
6512.800 7.2333e-17 
6538.400 6.2376e-17 
6563.900 6.7583e-17 
6589.500 6.8785e-17 
6615.100 5.7912e-17 
6640.600 5.1875e-17 
6666.200 5.6281e-17 
6691.800 5.6916e-17 
6717.400 5.8370e-17 
6742.900 5.8141e-17 
6768.500 5.1652e-17 
6794.100 5.4599e-17 
6819.600 5.9056e-17 
6845.200 5.1211e-17 
6870.800 4.6776e-17 
6896.300 4.2490e-17 
6921.900 3.8690e-17 
6947.500 4.2610e-17 
6973.100 4.5156e-17 
6998.600 4.5179e-17 
7024.200 5.0587e-17 
7049.800 5.5280e-17 
7075.300 5.1503e-17 
7100.900 5.0089e-17 
7126.500 5.1972e-17 
7152.100 4.7514e-17 
7177.600 4.1872e-17 
7203.200 4.3377e-17 
7228.800 4.4888e-17 
7254.300 5.3334e-17 
7279.900 5.0770e-17 
7305.500 4.1986e-17 
7331.100 3.7563e-17 
7356.600 3.8707e-17 
7382.200 4.0659e-17 
7407.800 4.1214e-17 
7433.300 4.1614e-17 
7458.900 4.3909e-17 
7484.500 5.2081e-17 
7510.000 5.6550e-17 
7535.600 4.7537e-17 
7561.200 3.8816e-17 
7586.800 4.0578e-17 
7612.300 4.5517e-17 
7637.900 5.0742e-17 
7663.500 4.4773e-17 
7689.000 4.2616e-17 
7714.600 5.0736e-17 
7740.200 4.8092e-17 
7765.800 4.3692e-17 
7791.300 4.8910e-17 
7816.900 5.2235e-17 
7842.500 4.7285e-17 
7868.000 4.0716e-17 
7893.600 3.2784e-17 
7919.200 3.2412e-17 
7944.700 3.5634e-17 
7970.300 3.2075e-17 
7995.900 3.2567e-17 
8021.500 3.0238e-17 
8047.000 2.5614e-17 
8072.600 2.8286e-17 
8098.200 3.2252e-17 
8123.700 3.2052e-17 
8149.300 2.6930e-17 
8174.900 2.1356e-17 
8200.500 2.0595e-17 
8226.000 2.0023e-17 
8251.600 2.2106e-17 
8277.200 3.4272e-17 
8302.700 3.8770e-17 
8328.300 3.4432e-17 
8353.900 3.6865e-17 
8379.500 3.5377e-17 
8405.000 2.8864e-17 
8430.600 2.9111e-17 
8456.200 3.3523e-17 
8481.700 3.1915e-17 
8507.300 2.6232e-17 
8532.900 2.6850e-17 
8558.400 2.7789e-17 
8584.000 3.2006e-17 
8609.600 3.5915e-17 
8635.200 3.9960e-17 
8660.700 3.3236e-17 
8686.300 2.6999e-17 
8711.900 2.6890e-17 
8737.400 2.7743e-17 
8763.000 2.9093e-17 
8788.600 3.2212e-17 
8814.200 3.3139e-17 
8839.700 2.7371e-17 
8865.300 2.1900e-17 
8890.900 2.0115e-17 
8916.400 1.8890e-17 
8942.000 2.0241e-17 
8967.600 2.2169e-17 
8993.200 1.8226e-17 
9018.700 2.0206e-17 
9044.300 2.3428e-17 
9069.900 1.7585e-17 
9095.400 1.7454e-17 
9121.000 2.2650e-17 
9146.600 2.2907e-17 
9172.100 2.0304e-17 
9197.700 1.9148e-17 
9223.300 2.4487e-17 
