 asas_sn_id jd flux flux_err mag mag_err limit fwhm image_id camera quality phot_filter
0 111670034425 2459255.8969312 1.3881083573694342 0.02401555188846849 16.044007199833068 0.01880534801894286 18.701409182998855 2.37 bA210589 bA G g
1 111670034425 2459276.9269928 1.3290710728321975 0.047806768708131636 16.09119510801133 0.03909789332773973 17.953917135367995 1.54 bq326392 bq B g
2 111670034425 2458599.7861238 1.1856805131542552 0.02007555049499384 16.215146416714262 0.018403988507819786 18.89597195400496 1.68 bA030343 bA G g
3 111670034425 2458635.8333022 0.992836855017768 0.03175540849427399 16.40787089678035 0.03476578069085033 18.3980963520037 1.70 bA041625 bA G g
4 111670034425 2458873.1337697 1.1402756623805226 0.025067189369766412 16.257540984777602 0.023895050877657684 18.654876506665317 1.77 bA106832 bA G g
5 111670034425 2458116.9123424 1.1725308101986378 0.031531154881267114 16.227254963913676 0.029229930794188456 18.405790916940308 1.49 bq030685 bq G g
6 111670034425 2459281.828544 1.247917566175329 0.023170056136017678 16.15960087714056 0.020181496205148995 18.74032289646086 1.52 bq328037 bq G g
7 111670034425 2458822.1088842 1.169006572665819 0.02047894293781943 16.230523239877048 0.01904157008615012 18.874371771712966 1.66 bA094516 bA G g
8 111670034425 2458902.792923 1.2537524494636298 0.04237572494955027 16.15453613599968 0.03673816997689018 18.084847758848188 1.47 bE166574 bE G g
9 111670034425 2458289.7179167 1.1048676809881377 0.07257202264389316 16.291789947269216 0.07139554778001188 17.500717542926687 1.47 bq080636 bq G g
10 111670034425 2458600.6975757 1.0472092300108409 0.03968354815199905 16.34998196879907 0.041189754858365464 18.1561143714652 1.45 bq154428 bq G g
11 111670034425 2458580.8478009 1.0307750238121627 0.03829894556248383 16.367155905190735 0.04038639634564894 18.194673568341685 1.51 bq149589 bq G g
12 111670034425 2458955.9205524 1.2433419017683873 0.031618987090128454 16.163589197231435 0.02764200593538971 18.402770728303533 1.86 bA121143 bA G g
13 111670034425 2458817.0280586 1.207658758217257 0.17401017509709615 16.19520503400164 0.15661832730792835 16.551204001377627 1.70 bq208153 bq G g
14 111670034425 2459278.9556694 1.2775126615788495 0.05733101951155588 16.13415258935229 0.04877941912452252 17.75666644929984 1.57 bq327205 bq G g
15 111670034425 2458608.7868357 0.9387370110407938 0.04516225491307295 16.468705770080792 0.052293035149198454 18.015701567068902 1.55 bq157026 bq G g
16 111670034425 2458852.9574841 1.1659448279925988 0.03251167012288727 16.2333706215791 0.03030912872056402 18.372542412054084 1.53 bq221203 bq G g
17 111670034425 2458483.9932668 1.1274997727807188 0.06044157522169741 16.269774464710096 0.05826818413398238 17.699301175568216 1.74 bq124487 bq G g
18 111670034425 2458582.8784636 1.0566095106664326 0.027426442892573427 16.340279333521714 0.02821416111557208 18.557216899239286 1.68 bA025066 bA G g
19 111670034425 2458625.7676218 1.1186280393330668 0.07874815759196153 16.278351369588428 0.07651857495057622 17.41203960709776 1.55 bq160909 bq G g
20 111670034425 2459291.9174111 1.262783782752542 0.01794925260626621 16.146743132663655 0.015450037803144146 19.017524687475575 1.81 bA216639 bA G g
21 111670034425 2458569.0572973 1.1815996844144634 0.049868428676170674 16.218889706504463 0.04587409297194197 17.90807640124416 2.05 bA020490 bA G g
22 111670034425 2458486.1144889 1.055424444928486 0.03190638679205411 16.341497750402112 0.032859628536559424 18.392946547144604 2.01 bA010011 bA G g
23 111670034425 2458153.8272885 1.0517666728308082 0.0946183906708688 16.345267109100114 0.09778411835331657 17.21270171888839 1.53 bq043390 bq G g
24 111670034425 2458680.6555743 0.8285208517991718 0.1262566876275227 16.604307014783217 0.16563919873821234 16.899504633122707 1.42 bq171948 bq B g
25 111670034425 2459013.7654232 1.150389896080108 0.036352612643293904 16.247952975707303 0.03434810191703311 18.251301539356113 1.52 bq255885 bq G g
26 111670034425 2458187.7242657 1.1131843485810546 0.024619597822110165 16.283647893516786 0.02403953347839279 18.674438226049077 1.54 bq054977 bq G g
27 111670034425 2458842.8997692 1.2586349857181172 0.03336977232616862 16.150316123606675 0.028818118096553744 18.34425750249369 1.48 bq217790 bq G g
28 111670034425 2458481.1689213 1.2466346641194663 0.09583518609178354 16.160717625320927 0.08355991015870286 17.198828135199133 1.76 bA008714 bA G g
29 111670034425 2458144.923342 1.03342064657794 0.029833417275710525 16.364372787257693 0.031378923559325964 18.46588310500799 1.69 bq040544 bq G g
30 111670034425 2458901.7897221 1.0708957106798358 0.04543447005670341 16.325697674618077 0.04611587575464635 18.009176944319837 1.46 bE166351 bE G g
31 111670034425 2458562.8520475 1.2002824256248465 0.20575252047181697 16.20185700412387 0.18632618391848912 16.369277701363284 1.42 bq144476 bq G g
32 111670034425 2458861.9964724 1.3052479418180205 0.1620524318233375 16.110833079618597 0.1349505653222633 16.628501729909424 1.63 bq224917 bq B g
33 111670034425 2458624.913494 0.9549792697432657 0.10327153740255596 16.450080761736018 0.1175435683749577 17.117689005423337 1.70 bA037610 bA G g
34 111670034425 2459041.68296 1.1369869056874302 0.03705673400865597 16.26067696456562 0.035426141236611544 18.230472761014276 1.48 bq261633 bq G g
35 111670034425 2458621.6748406 1.1500927377929773 0.12009998926735958 16.24823346946798 0.11350690453490593 16.95378318996087 1.51 bq159883 bq G g
36 111670034425 2458872.1351182 1.1440016895843246 0.016833878698028864 16.253998957606925 0.015994464347020676 19.087180127938556 1.70 bA106388 bA G g
37 111670034425 2458629.8742907 1.1598350646109827 0.04158661776181426 16.23907503633179 0.03897351164187964 18.10525660982723 2.01 bA039448 bA B g
38 111670034425 2458996.7581929 1.13576232025472 0.03207670303191496 16.261846980908473 0.030698308030336692 18.38716630285994 1.49 bq251401 bq G g
39 111670034425 2458633.7348957 1.0300312563886034 0.03365505162927864 16.367939613259267 0.03551501726867045 18.33501495861128 1.45 bq162849 bq G g
40 111670034425 2458213.6394829 1.1039474737143 0.050844613117424796 16.292694597356178 0.05006205923669747 17.887028243728164 2.00 bq061498 bq G g
41 111670034425 2458142.9295494 1.1289688489491108 0.02875757848380194 16.268360725211508 0.02768742247537638 18.505759827140583 1.46 bq039610 bq G g
42 111670034425 2458173.9163844 1.095580024098352 0.03276544540430694 16.300955359564522 0.032507542841709994 18.364100421416968 1.50 bq050471 bq G g
43 111670034425 2458113.9685655 1.0685692098174289 0.035855554722327224 16.328058982053555 0.036472536067801056 18.266249496761585 1.56 bq029583 bq B g
44 111670034425 2458543.8795766 0.9924610202616715 0.03438001867950192 16.40828197605632 0.037653454149105925 18.3118753406575 1.49 bq139826 bq G g
45 111670034425 2459173.1214153 1.2962224734256431 0.03735800588211619 16.11836675523362 0.03132682002142771 18.221681396073986 1.74 bA186846 bA G g
46 111670034425 2458632.7936888 1.1155586890660287 0.024004961391288007 16.281334564112132 0.023389490480506803 18.701888081936676 1.67 bA040502 bA G g
47 111670034425 2459048.6628946 1.1564641514921348 0.06241300830931826 16.24223518505055 0.058661763389414846 17.66445282120333 1.48 bq263344 bq G g
48 111670034425 2458172.8586406 1.0625818060417334 0.034159909292037514 16.33415968360609 0.03494350832649113 18.318848839451572 1.46 bq050002 bq G g
49 111670034425 2458655.6921803 1.148654945532103 0.04720422043660031 16.249591655342353 0.044668710526820476 17.96768853697636 1.48 bq167304 bq G g
50 111670034425 2458850.029924 1.1916767934015848 0.02093239525407908 16.209669417235688 0.01909293162628119 18.850593294762888 1.82 bA102198 bA G g
51 111670034425 2458915.7522807 1.2332314056943978 0.12501658869131183 16.172454182239093 0.110188238619406 16.910221500940118 1.52 bE171157 bE B g
52 111670034425 2458138.8635828 1.1125007990852296 0.024337485635115796 16.284314793288726 0.023778669422595957 18.68695134096344 1.57 bq038014 bq G g
53 111670034425 2459033.7824348 1.240496472778584 0.07822428493279766 16.166076787934124 0.0685422317047255 17.419286606829797 1.61 bA144171 bA B g
54 111670034425 2458617.6803369 1.350692415631387 0.10138912505777493 16.07367446919931 0.08159190755761864 17.137662173176693 1.51 bq158905 bq B g
55 111670034425 2458602.7397689 1.155931520285778 0.038630689363371565 16.24273535636795 0.036325577256007456 18.185309465980662 1.47 bq155168 bq B g
56 111670034425 2458982.9209461 1.208500322825576 0.026051526514938556 16.19444869539131 0.02343141835532579 18.61305767070355 1.71 bA128781 bA G g
57 111670034425 2458492.0481448 1.03246576923777 0.029919235746521073 16.3653764677749 0.03149829213625217 18.46276437202628 1.73 bA011804 bA G g
58 111670034425 2459201.0608799 1.3067621399480738 0.021890130074676453 16.109574263715388 0.01820807239436316 18.80201975588389 2.00 bA195406 bA G g
59 111670034425 2458922.7503864 1.241246712339001 0.13395233561718028 16.165420344283802 0.11730171234606059 16.835264885323497 1.46 bE173607 bE B g
60 111670034425 2458587.8256829 1.0779801336435824 0.07164247485610573 16.31853872926598 0.07223904490258727 17.514714161597638 1.71 bA025817 bA G g
61 111670034425 2458154.778213 1.0320493501785937 0.07197935832238177 16.365814460454903 0.07580880986512092 17.509620684668114 1.48 bq043788 bq G g
62 111670034425 2458809.017816 1.2849821468767035 0.07248630428862053 16.12782288787425 0.06131560767189646 17.502000716868267 1.53 bq205829 bq G g
63 111670034425 2458808.1503253 1.257577317617517 0.04863860771718148 16.15122888332536 0.04203960355030914 17.935187774594194 1.69 bA090505 bA G g
64 111670034425 2458613.9240376 1.120657566013245 0.026304433356561907 16.276383303350443 0.025513391650299505 18.602568234511534 1.76 bA033894 bA G g
65 111670034425 2459340.7628225 1.329915247535919 0.04909106648379247 16.09050570915076 0.04012274840261676 17.925134443751332 1.46 bq342413 bq G g
66 111670034425 2458178.9630088 1.2144436198795214 0.21652573430460625 16.189122228183106 0.19379578860161015 16.313866811193268 2.30 bq052004 bq B g
67 111670034425 2458443.0161167 0.8416109799813584 0.15622705317930757 16.587287140232498 0.20177019830361012 16.66825000895316 1.55 bq114236 bq G g
68 111670034425 2459016.749766 1.2613762069229564 0.03536372888236031 16.14795403546204 0.030473728242793617 18.281245480512514 1.53 bq256786 bq G g
69 111670034425 2459019.7211165 1.1528023825937785 0.037462244372925696 16.24567845878262 0.03532247283226284 18.21865613015363 1.50 bq257336 bq G g
70 111670034425 2458968.7710954 1.3295199641024953 0.040072962405805386 16.090828464550924 0.03276187572091187 18.145511989017862 1.50 bq245294 bq G g
71 111670034425 2459332.9406325 1.5188597195393232 0.1207618523272141 15.946271460573424 0.08642199228522286 16.947816196678353 2.06 bA228904 bA B g
72 111670034425 2459236.9494782 1.29368068752923 0.03803072777470127 16.12049788499949 0.03195359409758757 18.2023040205327 2.15 bA206429 bA G g
73 111670034425 2459029.7944549 1.1295222156955154 0.06348137278992486 16.26782867942881 0.06108909696873327 17.646024836846266 2.26 bA142884 bA G g
74 111670034425 2458911.7632869 1.104594918426173 0.0478131570602769 16.292058019867877 0.047049666827775526 17.953772059638904 1.49 bE169752 bE G g
75 111670034425 2459269.8364584 1.2946396218248752 0.06131776558188887 16.11969338663301 0.05148131114955243 17.68367480947037 1.53 bq324204 bq B g
76 111670034425 2458319.6431157 1.031828771446598 0.07486078267764668 16.366046538418935 0.07886038672858918 17.46700470294641 1.46 bq086192 bq G g
77 111670034425 2458883.9586305 1.182332914602452 0.04239736418298198 16.21821617242199 0.038977254996522374 18.084293467387756 1.68 bA111006 bA G g
78 111670034425 2459287.7766619 1.1201697604000092 0.03725756894604587 16.27685601110199 0.03615287519954866 18.224604326947286 2.37 bq329330 bq G g
79 111670034425 2459000.8436158 1.1054532713940837 0.06562614279020189 16.29121464917137 0.06452806803170959 17.609948413620202 1.81 bA134266 bA G g
80 111670034425 2458201.6424379 0.9594379978391012 0.03720018828496747 16.445023336318954 0.04214445056099392 18.226277766380218 1.49 bq058516 bq B g
81 111670034425 2458960.8103374 1.1379049646817385 0.036178558670504166 16.259800641646432 0.03455870350739262 18.256512459272788 1.47 bq242707 bq G g
82 111670034425 2459015.7456125 1.1074863015327525 0.04860051301409387 16.289219714402314 0.047699591866215536 17.93603847748325 1.48 bq256479 bq G g
83 111670034425 2458686.6384796 1.1212604253918972 0.09082334216279048 16.27579938701446 0.08804468779452836 17.257146913330544 1.46 bq173783 bq B g
84 111670034425 2459305.7769543 1.1160012222757858 0.06526612099775228 16.280903946648987 0.06356752524200285 17.615921107024604 1.47 bq334293 bq B g
85 111670034425 2458590.9392491 0.893628898127584 0.1051175091431015 16.52217261096137 0.12785862492973468 17.098452958124735 2.00 bA026980 bA G g
86 111670034425 2459002.6520675 1.1285178920254193 0.10274381853415952 16.26879449986583 0.09895994065601482 17.1232513551999 1.53 bq253044 bq B g
87 111670034425 2459313.9332935 1.2208716688371668 0.02757013073164443 16.18339058290522 0.024546014269054384 18.55154354783742 1.71 bq336809 bq G g
88 111670034425 2458124.885787 0.9678918082921344 0.07675996825438909 16.435498586675866 0.08620255630618386 17.439803645311297 1.54 bq033561 bq B g
89 111670034425 2458652.7444392 0.42578718496726364 0.17139664246457945 16.567634836047574 99.999 16.567634836047574 1.51 bq166391 bq G g
90 111670034425 2458168.8454404 1.1001046478171996 0.030297199268746487 16.29648062345972 0.029935096084664624 18.44913440308638 1.48 bq048409 bq G g
91 111670034425 2458588.909522 1.3165650713888635 0.09381454424641131 16.101459799706788 0.07745331614718359 17.22196517870598 1.76 bA026186 bA G g
92 111670034425 2458657.7881104 1.1589252117795732 0.03533183865822083 16.239927095271064 0.033137748721176585 18.282225015000435 1.72 bA048927 bA G g
93 111670034425 2459193.0911648 1.3564963654618845 0.04475198763830244 16.069019036109264 0.03585963520637873 18.02560978878293 2.06 bA192974 bA G g
94 111670034425 2458828.1178183 1.2747886618354087 0.061604129130733626 16.136470141938283 0.05252714581592033 17.678616055114194 1.75 bA096416 bA G g
95 111670034425 2459216.9817401 1.3626898335419488 0.13387384190745033 16.06407308267759 0.1067851553374761 16.83590129409972 2.16 bA199746 bA G g
96 111670034425 2459061.6223462 1.15227855768097 0.1262991424379187 16.24617192143952 0.11913931370834736 16.899139607099467 2.04 bq265997 bq B g
97 111670034425 2458619.6873805 0.7989948979460462 0.11949491585870795 16.643705607041536 0.16256146120730552 16.9592670419866 1.44 bq161256 bq G g
98 111670034425 2458215.6210374 1.043061811126915 0.11027848146581294 16.35429050932727 0.11491928221132833 17.0464136683375 1.72 bq061898 bq B g
99 111670034425 2459036.7026847 1.2438789989626389 0.14612201002121195 16.16312028361129 0.12768787952417024 16.740851517348904 1.48 bq260502 bq B g
100 111670034425 2458971.9462074 1.2003286602163086 0.06792283567394053 16.201815182630863 0.06150746179592207 17.572601089589284 1.79 bA126968 bA G g
101 111670034425 2458831.9949548 1.3430770952039357 0.09321868836644165 16.079813265478897 0.07544217798791811 17.228883141694602 1.54 bq213237 bq G g
102 111670034425 2458637.8108581 1.1675013778827772 0.02544786389971299 16.231922117802416 0.02369223895931032 18.63851227791367 1.66 bA042349 bA G g
103 111670034425 2459274.8966271 2.141832542608581 0.16427973958411327 15.573101840104236 0.08337016586417165 16.61368059709346 1.46 bq325660 bq B g
104 111670034425 2458671.7616221 1.1110149464241703 0.03908797282752873 16.28576586848119 0.03824154402529824 18.17253274213101 2.19 bA051601 bA G g
105 111670034425 2458570.8269772 1.1350083888432168 0.025970096277271492 16.262567943757055 0.0248706228044211 18.616456712281305 1.72 bA020959 bA B g
106 111670034425 2459004.7743293 0.9735814439998172 0.1331458342495041 16.42913490264669 0.1486508743278009 16.841821653538858 1.48 bq253728 bq B g
107 111670034425 2458085.0205349 0.9308883544059869 0.06096961675777162 16.47782162920838 0.07119148311301403 17.68985694857609 1.44 bq020317 bq G g
108 111670034425 2459057.6295696 1.0490094221556336 0.06770953861659794 16.34811714972059 0.07015887848940555 17.576015975299985 1.75 bq264687 bq G g
109 111670034425 2458983.7244116 1.2425183117591228 0.036336670729747986 16.164308627486434 0.03178736349733877 18.25177777772811 1.45 bq248317 bq G g
110 111670034425 2458143.9264979 1.1444123843053844 0.026202189574511894 16.253609250046885 0.024886694020833617 18.606796650280653 1.49 bq040077 bq G g
111 111670034425 2459310.9573784 1.1107004912638467 0.05265130322275247 16.286073212391056 0.05152575142099257 17.849117798210813 1.56 bq335841 bq G g
112 111670034425 2458871.1220214 1.2083826021202648 0.021724587269912 16.194554462725414 0.019541560573355203 18.81026177557971 1.75 bA105926 bA G g
113 111670034425 2459030.6993811 1.3559917254737912 0.140378971875111 16.06942302380867 0.11252711659532547 16.784385468071775 1.51 bq259565 bq B g
114 111670034425 2459229.8083418 1.2688765117694452 0.03307363655174609 16.141517226751336 0.0283318389253013 18.353935737438324 1.53 bq314124 bq G g
115 111670034425 2459196.0391809 1.256559265553885 0.028297880457150558 16.15210818006017 0.02447840428818601 18.523255842440317 1.76 bA194270 bA G g
116 111670034425 2459324.6868689 1.418467990750028 0.05364679083346407 16.020516772476842 0.04110894961822572 17.828781242798335 1.44 bq339077 bq G g
117 111670034425 2459021.7434091 1.1915402334328218 0.035474046932137425 16.209793844092914 0.03236042357905045 18.277863770792383 1.56 bq257779 bq B g
118 111670034425 2458993.8001894 1.2864374079551981 0.043537166582562604 16.126593971491456 0.03678609379851572 18.055490207557256 1.47 bq250636 bq G g
119 111670034425 2458318.647268 1.1387938897005816 0.08071760608794927 16.25895280169302 0.0770433782179274 17.38521992851285 1.46 bq085853 bq G g
120 111670034425 2458313.6598377 1.2144560633755652 0.0365384788028352 16.189111103512737 0.03270249046209157 18.245764455138342 1.47 bq085341 bq G g
121 111670034425 2458898.7881889 1.1447477585714312 0.01637831196482969 16.253291117664116 0.015551472253997695 19.116967763811775 1.45 bi309632 bi G g
122 111670034425 2458979.8318476 0.7186508960663386 0.15066923384654485 16.707579161723555 99.999 16.707579161723555 1.49 bq247578 bq B g
123 111670034425 2458320.639031 0.997171701512999 0.07470030272545941 16.403140759102648 0.08142627904515096 17.46933470691272 1.52 bq086534 bq G g
124 111670034425 2458321.6383148 0.9272273555832159 0.0783122535198838 16.48210003242038 0.0918027430737147 17.41806630783917 1.53 bq086878 bq G g
125 111670034425 2459065.616119 1.0446616348925162 0.15220658972009213 16.352626508353524 0.15836893001718044 16.69655697284725 1.63 bq267127 bq G g
126 111670034425 2459206.0163666 1.421613614161454 0.03584141811746771 16.018111687626476 0.02740411514287598 18.266677649396186 1.72 bA195990 bA G g
127 111670034425 2458169.8311032 1.1653294731516528 0.031799503748835035 16.233943795696597 0.029660863115719045 18.396589754942127 1.51 bq048720 bq B g
128 111670034425 2458598.7967113 1.0576831833820308 0.04905230341285292 16.339176623908354 0.050409916635375814 17.92599209662711 1.49 bq153786 bq G g
129 111670034425 2458849.0218005 1.1016809697009013 0.03179676543640949 16.294926003411085 0.03137178776056913 18.396683253663994 2.02 bA101744 bA G g
130 111670034425 2458509.9866917 1.1920893502057832 0.08177716704979378 16.209293601961598 0.0745650693371092 17.37106045765821 1.45 bq131946 bq G g
131 111670034425 2459349.8490213 1.3477189724460832 0.02551718790414602 16.076067266857972 0.020580012877991872 18.635558582185784 1.78 bA233120 bA G g
132 111670034425 2458578.8151953 1.1268494118267276 0.02665859059831382 16.270400916422474 0.025714819218156847 18.58804764855583 1.70 bA023407 bA G g
133 111670034425 2458145.9433305 1.1485909069718518 0.025689270701926413 16.249652187812842 0.02431076213357589 18.62826117353078 1.64 bq041028 bq G g
134 111670034425 2458844.9539345 1.206689636271056 0.04855292011559419 16.196076665322728 0.043735283359365336 17.93710222449577 1.50 bq218621 bq G g
135 111670034425 2459054.6447161 1.1166733528396504 0.07604608679733825 16.28025024053553 0.07402235379478625 17.44994843417602 1.47 bq264074 bq B g
136 111670034425 2459257.7627135 1.399479678493528 0.03880353082408233 16.035149130875567 0.030138166022634902 18.18046249928342 1.53 bq323586 bq G g
137 111670034425 2458615.8540311 1.157824624209151 0.050895452665087645 16.240958667901857 0.04778024499087604 17.885943158089564 1.70 bA034609 bA G g
138 111670034425 2458597.9213921 0.883190117294695 0.04710987632185548 16.534930120403416 0.05797889526120972 17.969860701239625 1.73 bA029667 bA G g
139 111670034425 2458583.8177496 1.2121757142307072 0.031880272766316 16.191151675450925 0.02858700268563072 18.39383554007749 1.51 bq150706 bq G g
140 111670034425 2459180.0956274 1.4125876952242402 0.03031744620616608 16.025027075089376 0.023328637215005797 18.44840907231401 2.01 bA188087 bA G g
141 111670034425 2458510.9501293 1.061474235742471 0.05096709359551314 16.335291978854947 0.052190635356289775 17.884415939939498 1.52 bq132368 bq G g
142 111670034425 2458170.8315646 1.117755490814329 0.03597786313110925 16.279198592394803 0.03498651833068292 18.26255219821011 1.50 bq049164 bq G g
143 111670034425 2458962.833377 1.1507594794802682 0.033662003757679346 16.247604219484916 0.03179564033288857 18.334790701103636 1.45 bq243269 bq G g
144 111670034425 2458518.9476312 1.0924580118603437 0.026192966889005225 16.304053737164146 0.026061062186929083 18.60717887659083 1.77 bA019381 bA G g
145 111670034425 2458874.1263623 1.1778083010100726 0.022096140629658215 16.222379095195908 0.020391726006749017 18.79184954822611 1.72 bA107276 bA G g
146 111670034425 2459308.9063007 1.1964187944667644 0.05064873438168746 16.205357555489066 0.04601480051017156 17.891219117404628 1.46 bq335086 bq G g
147 111670034425 2458197.8394765 1.0975818240143724 0.038423691861117604 16.29897335604851 0.03805172566085572 18.191142884393916 1.47 bq057152 bq G g
148 111670034425 2458932.9082234 1.1815357782901852 0.03273508314399983 16.218948429496812 0.030114714058455238 18.365106990626877 1.50 bq240326 bq G g
149 111670034425 2458248.729583 1.0994820764095574 0.030450683507273486 16.297095237403266 0.030103782262400305 18.44364799791111 1.49 bq070658 bq G g
150 111670034425 2459227.9632592 1.3118170170641625 0.025485079530488296 16.10538247146193 0.02111664435082547 18.63692562840216 1.59 bq313400 bq G g
151 111670034425 2458651.7321239 1.010339167758247 0.17979657780358885 16.3888976483226 0.19343114576426126 16.51568705834351 1.60 bq166066 bq B g
152 111670034425 2458825.1172103 1.2166231578701872 0.026203070904507485 16.1871754252719 0.02341037043804671 18.606760131355802 1.69 bA095072 bA G g
153 111670034425 2458908.8454974 1.20376326410399 0.0694814708834675 16.198712908304994 0.062739360943223 17.54796810233945 1.54 bE168730 bE G g
154 111670034425 2458137.8670033 1.1288481817404628 0.03386940710057506 16.268476777801688 0.0326125102833995 18.328121625971907 1.68 bq037547 bq G g
155 111670034425 2458943.0165329 1.2131628100623095 0.1411548605713805 16.19026790130527 0.1264704085887362 16.778401018005205 1.80 bA119073 bA B g
156 111670034425 2458659.6862955 0.8678778285359965 0.05946126463509838 16.55391913804783 0.07447109173764979 17.71705525735077 1.49 bq168467 bq G g
157 111670034425 2458647.7630723 1.036066137267824 0.07100974785678596 16.361596923591055 0.07449766550958366 17.524345685073136 2.14 bA045308 bA G g
158 111670034425 2458627.7993142 0.9636534180327486 0.1147814156320363 16.440263456871595 0.12946813238144061 17.00296166963703 1.50 bq161647 bq G g
159 111670034425 2459045.6786319 1.3106135343465226 0.05126420829800852 16.106379001074025 0.04251593935285951 17.87810497467251 1.49 bq262781 bq G g
160 111670034425 2458900.7942679 1.0706275259590097 0.051051217029278444 16.325969609899943 0.05182983992774578 17.88262536180015 1.50 bE166129 bE G g
161 111670034425 2458879.1013178 1.1663076955157736 0.024573942987677774 16.233032769303968 0.02290202465267081 18.676453495536936 1.78 bA109484 bA G g
162 111670034425 2458878.1047317 1.1531949679247968 0.026175104146729064 16.245308775693985 0.024671630514211104 18.607919565578378 2.02 bA109038 bA G g
163 111670034425 2458182.7127761 1.1527967474913206 0.07541380453129912 16.24568376606668 0.07110666025284976 17.459013484068148 1.78 bq053372 bq B g
164 111670034425 2459025.7143633 1.159448243960395 0.04236310119740395 16.23943720440969 0.039714449840665654 18.085171248456668 1.47 bq258688 bq G g
165 111670034425 2458132.9398512 1.076395954001035 0.02970721522961008 16.32013548065273 0.029998674016292005 18.470485754660835 2.04 bq036466 bq G g
166 111670034425 2458994.8098948 1.1802962325693362 0.03318952037454285 16.220088070067316 0.030564840104565734 18.350138170402182 1.49 bq250957 bq G g
167 111670034425 2458840.9635719 1.1194761305156227 0.059877814836136585 16.277528527329057 0.05813842704591587 17.709475754088466 1.50 bq217035 bq B g
168 111670034425 2458607.8006825 1.1740342842849512 0.023451919420186165 16.225863673746073 0.021712497754354264 18.727194628198045 1.83 bA032026 bA G g
169 111670034425 2458239.7876712 0.997371656761512 0.09940506006953294 16.40292306651405 0.10833371652778492 17.15911938122497 1.51 bq068192 bq G g
170 111670034425 2458957.8388928 1.1497635370904031 0.027913935044781 16.24854429334664 0.026389107643045317 18.538087952523398 1.47 bq241847 bq G g
171 111670034425 2458086.0167893 1.0613554689349454 0.04215416925807309 16.335413467095577 0.04317097384869289 18.09053927399112 1.55 bq020788 bq G g
172 111670034425 2458193.7157065 1.102494790571241 0.032072004223478744 16.294124257162718 0.031619989912054385 18.387325360358236 1.58 bq056089 bq G g
