MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58696.581357  19.682  0.261    49   13 o  0   0.92 347.80127  -1.00298  8524.03  7222.21 3.14 2.91   5.5 -0.420 19.45 21.45 01a58696o0720o
58700.527577  19.132  0.162    81   13 o  0   1.25 347.80127  -1.00298  1979.45  3406.25 2.99 2.77  -8.1 -0.451 19.39 21.13 01a58700o0612o
58700.531288  19.353  0.194    66   13 o  0   1.07 347.80127  -1.00298  1958.95  3368.10 2.98 2.78 -10.8 -0.448 19.39 21.14 01a58700o0620o
58700.537536  19.539  0.243    56   14 o  0   0.94 347.80127  -1.00298  8535.71  7109.99 3.23 2.98  -0.6 -0.416 19.37 21.15 01a58700o0632o
58700.550306  19.086  0.171    84   14 o  0   1.01 347.80127  -1.00298  8520.02  7225.14 3.15 3.12 -44.3 -0.422 19.30 21.12 01a58700o0658o
58702.497698  19.267  0.131    71    9 c  0   0.91 347.80127  -1.00298  1977.14  8952.37 2.37 2.23 -37.7 -0.418 19.83 21.80 02a58702o0543c
58702.503377  19.222  0.118    74    9 c  0   1.07 347.80127  -1.00298  1997.20  8991.39 2.45 2.08 -50.0 -0.437 19.83 21.80 02a58702o0554c
58702.506755  19.257  0.113    72    8 c  0   1.50 347.80127  -1.00298  1938.06  8914.35 2.35 2.26  15.9 -0.406 19.80 21.78 02a58702o0561c
58702.517192  19.281  0.126    70    9 c  0   0.94 347.80127  -1.00298  8674.64  1529.31 2.59 2.28 -60.6 -0.410 19.79 21.78 02a58702o0581c
58704.572597  19.311  0.187    68   13 o  0   0.98 347.80127  -1.00298  6326.26  9217.30 3.02 2.95 -86.5 -0.443 19.38 21.16 01a58704o0711o
58704.575845  19.558  0.234    55   13 o  0   0.83 347.80127  -1.00298  6346.10  9254.91 2.89 2.78 -79.1 -0.462 19.39 21.19 01a58704o0718o
58704.582115  19.116  0.169    82   14 o  0   1.02 347.80127  -1.00298  6289.09  9178.16 2.92 2.82 -72.9 -0.447 19.28 21.01 01a58704o0731o
58704.592981  18.916  0.177    98   17 o  0   1.29 347.80127  -1.00298  6273.32  9295.39 2.90 2.82 -67.1 -0.457 19.03 20.76 01a58704o0753o
58706.476634  17.773  0.515   282  145 c  0   1.15 347.80127  -1.00298  2192.73  2639.10 2.41 2.38  39.3 -0.392 17.15 17.94 02a58706o0474c
58706.481814  18.543  0.326   139   45 c  0   1.25 347.80127  -1.00298  2211.85  2678.20 2.37 2.36   6.8 -0.394 17.98 18.81 02a58706o0485c
58706.484733 -20.962  3.648   -15   55 c  0   1.45 347.80127  -1.00298  2152.54  2600.54 2.56 2.28  32.8 -0.388 17.61 18.41 02a58706o0491c
58706.496666  18.948  0.225    96   22 c  0   1.21 347.80127  -1.00298  2135.86  2714.38 2.41 2.34 -54.2 -0.398 18.76 19.77 02a58706o0516c
58708.417189  20.103  0.731    33   24 o  0   1.26 347.80127  -1.00298  4246.51  1338.63 3.50 2.97  -8.2 -0.416 18.63 19.60 01a58708o0404o
58708.420462  19.016  0.304    90   27 o  0   1.06 347.80127  -1.00298  4227.21  1300.30 3.41 2.89 -10.0 -0.423 18.54 19.52 01a58708o0411o
58708.426010  19.456  0.624    60   37 o  0   1.10 347.80127  -1.00298  4285.92  1377.91 3.27 2.78  -8.6 -0.430 18.23 19.03 01a58708o0423o
58708.438944  21.159  2.018    12   25 o  0   1.12 347.80127  -1.00298  4306.60  1262.44 3.51 2.92 -10.6 -0.420 18.72 19.71 01a58708o0451o
58718.584268  19.658  0.258    50   13 o  0   0.89 347.80127  -1.00298  8382.63  3569.69 2.10 2.06  32.5 -0.428 19.43 20.50 02a58718o0505o
58718.589776  20.028  0.304    35   11 o  0   1.18 347.80127  -1.00298  8367.69  3531.47 2.11 2.09  46.9 -0.426 19.43 20.50 02a58718o0516o
58718.595952  19.322  0.165    68   11 o  0   1.47 347.80127  -1.00298  8426.28  3609.81 2.16 2.03 -62.2 -0.424 19.43 20.46 02a58718o0528o
58718.608491  19.362  0.198    65   13 o  0   1.29 347.80127  -1.00298  8448.90  3492.49 2.13 2.03 -56.8 -0.430 19.39 20.40 02a58718o0553o
58720.585492  19.612  0.177    52    9 o  0   1.55 347.80127  -1.00298  8302.92   855.23 2.16 1.99 -72.4 -0.455 19.60 20.89 01a58720o0130o
