# SN2021jad magnitudes from Swift UVOT                                                        
# generated Mon Aug 26 14:58:41 UTC 2024 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel5.8(Bld47)_30Jun2023 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
# V               3.64991       0.218601
# B               5.67526       0.358039
# U               2.60497       0.176321
# UVW1           0.863869      0.0578877
# UVM2           0.352888      0.0216193
# UVW2           0.575752      0.0375547
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVW2     59318.5844  16.440   0.086  19.185  11.093   2.378   0.188   3.000      0.0110322     314.70     319.75
UVW2     59320.5727  15.670   0.078  18.929  11.093   4.828   0.346   3.000      0.0110322     206.47     209.78
UVW2     59321.5315  15.458   0.073  19.042  11.093   5.874   0.392   3.000      0.0110322     253.49    6070.36
UVW2     59322.2989  15.257   0.071  19.009  11.093   7.066   0.462   3.000      0.0110322     238.72   22661.01
UVW2     59323.2271  15.173   0.069  19.073  11.093   7.635   0.486   3.000      0.0110322     271.42     275.77
UVW2     59324.8938  15.078   0.070  18.963  11.093   8.329   0.535   3.000      0.0110322     223.20     226.78
UVW2     59325.0185  15.111   0.071  18.904  11.093   8.081   0.528   3.000      0.0110322     202.36     205.60
UVW2     59327.9481  15.169   0.072  18.887  11.093   7.664   0.507   3.000      0.0110322     196.61     199.76
UVW2     59329.6759  15.185   0.072  18.901  11.093   7.554   0.500   3.000      0.0110322     196.60     199.75
UVW2     59331.7953  15.352   0.074  18.886  11.093   6.472   0.441   3.000      0.0110322     196.61     199.76
#                                                                                           
UVM2     59318.5888  17.597   0.160  18.880  10.560   0.503   0.074   3.000      0.0110322     243.90     247.81
UVM2     59320.5765  16.570   0.092  19.059  10.560   1.294   0.110   3.000      0.0110322     335.49     340.86
UVM2     59321.5339  16.349   0.082  19.176  10.560   1.587   0.120   3.000      0.0110322     416.29    6152.39
UVM2     59322.3012  16.127   0.077  19.168  10.560   1.947   0.139   3.000      0.0110322     406.71   22721.25
UVM2     59323.2321  15.963   0.073  19.220  10.560   2.263   0.152   3.000      0.0110322     453.38     460.65
UVM2     59324.8982  15.912   0.073  19.176  10.560   2.372   0.160   3.000      0.0110322     418.61     425.32
UVM2     59327.9523  15.968   0.079  19.004  10.560   2.254   0.164   3.000      0.0110322     308.85     316.91
